contact,month,duration,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
0.0,0.2222222222222222,0.3798140770252324,0.0,0.0,1.0,0.6691348402182413,0.0,0.9805032872364543,1.0
0.0,0.1111111111111111,0.23638778220451526,0.0,0.0,1.0,0.8823070927513683,0.0,0.9589662208116074,1.0
1.0,0.3333333333333333,0.13678618857901725,0.0,0.0,1.0,0.4844115354637566,0.0,0.9814101110859217,1.0
0.0,0.0,0.1792828685258964,0.0,0.0,0.9375,0.6987529228371017,0.0,0.9580593969621403,0.8597353497164448
1.0,0.0,0.5551128818061088,0.0,0.0,0.33333333333333337,0.26968043647701023,0.0,0.14894581727499434,0.512287334593573
1.0,0.0,0.28021248339973437,0.0,0.0,0.33333333333333337,0.26968043647701023,0.0,0.1632282929041034,0.512287334593573
0.0,0.0,0.7915006640106241,0.0,0.0,0.9375,0.6987529228371017,0.0,0.9573792790750397,0.8597353497164448
0.0,0.0,0.4833997343957503,0.0,0.0,0.9375,0.6987529228371017,0.0,0.9573792790750397,0.8597353497164448
1.0,0.2222222222222222,0.2337317397078353,0.0,0.0,1.0,0.6691348402182413,0.0,0.9811834051235548,1.0
1.0,0.7777777777777777,0.5830013280212483,0.0,0.0,0.33333333333333337,0.2501948558067042,0.0,0.2049421899795965,0.512287334593573
1.0,0.3333333333333333,0.22045152722443556,0.0,0.0,1.0,0.4844115354637566,0.0,0.9814101110859217,1.0
0.0,0.1111111111111111,0.5431606905710491,0.0,0.0,1.0,0.8823070927513683,0.0,0.9589662208116074,1.0
0.0,0.0,0.23505976095617528,0.0,0.0,0.9375,0.6987529228371017,0.0,0.9578326909997734,0.8597353497164448
1.0,0.3333333333333333,0.37051792828685254,0.2857142857142857,1.0,0.3541666666666667,0.7116134060795005,0.0,0.060077080027204716,0.10586011342154933
1.0,0.8888888888888888,0.14741035856573703,0.0,0.0,0.33333333333333337,0.3406079501169188,0.0,0.17479029698481074,0.512287334593573
1.0,0.7777777777777777,0.5723771580345285,0.14285714285714285,0.5,0.33333333333333337,0.45518316445830465,0.0,0.00453411924733621,0.17051039697542336
1.0,0.4444444444444444,0.3585657370517928,0.14285714285714285,1.0,0.0,0.08963367108339781,0.0,0.021763772387213776,0.20378071833648193
1.0,0.2222222222222222,0.09561752988047809,0.0,0.0,1.0,0.6691348402182413,0.0,0.9811834051235548,1.0
1.0,0.2222222222222222,0.11022576361221778,0.0,0.0,1.0,0.6691348402182413,0.0,0.9825436408977557,1.0
0.0,0.0,0.2390438247011952,0.0,0.0,0.9375,0.6987529228371017,0.0,0.9571525731126729,0.8597353497164448
1.0,0.0,0.16334661354581673,0.0,0.0,0.33333333333333337,0.26968043647701023,0.0,0.14418499206529134,0.512287334593573
